"CASEID","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1","MIGR-1"
369,0,0,0,1,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,0
371,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
372,0,0,0,0,0,0,0,0,0,0,0
373,1,1,1,1,1,1,1,1,0,0,0
374,0,0,1,-5,-5,-5,-5,-5,-5,-5,-5
375,1,1,0,1,1,0,-5,1,0,0,-5
376,0,0,0,0,0,0,0,0,0,0,0
377,0,0,1,0,1,1,1,-5,-5,-5,-5
378,0,0,1,0,1,1,1,1,1,1,-5
379,-5,1,1,0,1,0,1,0,1,1,1
380,1,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,-5,-5,-5
382,-5,1,0,0,0,0,0,0,0,0,-5
383,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
384,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
385,0,0,1,1,0,0,0,0,0,1,0
386,0,0,1,1,1,0,1,0,0,1,1
387,0,1,1,0,0,0,0,0,0,0,0
388,0,0,0,1,1,0,0,0,1,0,0
389,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
390,1,1,-5,-5,-5,-5,-5,-5,-5,-5,-5
391,1,-5,1,1,0,0,0,0,0,1,0
392,1,0,1,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0
394,-5,-5,1,1,1,0,1,1,0,1,1
395,1,1,1,1,1,1,1,0,0,0,0
396,0,1,1,0,0,0,0,0,0,0,1
397,1,1,1,1,1,1,-5,-5,1,1,1
398,1,0,1,-5,1,0,0,0,0,1,0
399,0,0,0,0,0,0,0,0,0,0,0
400,1,0,0,0,0,0,0,0,0,0,0
401,0,1,0,0,1,0,0,0,0,0,0
402,0,0,0,0,0,1,0,0,0,0,0
403,0,1,0,0,0,1,1,0,0,0,-5
404,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
405,0,0,1,0,0,0,0,0,0,0,0
406,1,1,0,0,0,0,0,1,1,0,0
407,0,0,0,0,0,0,0,0,0,0,1
408,0,0,0,0,0,0,1,0,0,0,0
409,0,0,0,1,1,1,1,0,0,1,0
410,0,0,0,0,0,0,0,-5,-5,-5,1
411,0,0,1,0,0,1,0,0,0,0,0
412,0,1,0,0,0,0,0,0,0,0,0
413,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
414,0,1,0,0,0,0,0,-5,-5,-5,-5
415,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,1,1,0,0,0,0,0,0
418,0,1,0,0,0,0,0,0,0,0,0
419,1,1,1,1,1,1,1,1,1,0,0
