"CASEID","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3","MIGR-3"
434,-4,-4,-4,-4,-4,-4,-4,-4
435,0,0,-5,-5,-5,-5,-5,-5
436,-4,-4,-4,-4,-4,-4,-4,-4
437,-4,-4,-4,-4,-4,-4,-4,-4
438,-4,0,0,1,-4,-4,-4,-4
439,-4,-4,-4,-4,-4,-4,-4,-4
440,-5,-5,-5,-5,-5,-5,-5,-5
441,1,-4,-4,-5,-5,-5,-5,-5
442,-4,-4,-4,-4,-4,-4,-4,-4
443,-4,-4,-4,-4,-4,-4,-4,-5
444,-4,-4,-4,-4,1,-4,-4,-4
445,-4,1,1,0,1,1,-4,-4
446,1,0,1,-4,0,-5,-5,-5
447,1,-4,1,-4,-5,-5,-5,-4
448,0,-5,-5,-5,-5,-5,-5,-5
449,-4,0,-4,-4,-4,-4,-4,-4
450,0,-4,-4,-5,-5,-5,-5,-5
451,-5,-5,-5,-5,-5,-5,-5,-5
452,-4,0,-4,-4,-4,-4,-4,-4
453,-5,-4,-4,1,-4,-5,-5,-5
454,1,-4,-5,-5,-5,-5,-5,-5
455,-4,0,-4,-4,-4,-4,-4,-4
456,-4,-4,-4,-4,-4,-4,-4,-4
457,-4,-4,-4,-4,-4,-4,-4,-4
458,-4,-4,-4,0,-4,-4,-4,-4
459,-4,-4,-4,-4,-4,-4,-4,-4
460,-4,-4,-4,-4,-4,-4,-4,-4
461,-4,-4,-4,-4,0,-4,-4,-4
462,-4,-4,-4,-4,-4,-4,-4,-4
463,1,-5,0,-5,-5,-5,-5,-5
464,-4,0,-4,-4,-4,-4,-4,-4
465,-4,-4,-4,-4,-4,-4,-4,-4
466,-4,-4,-4,-4,-4,-4,-4,-4
467,-4,-5,-4,-4,-4,-4,-4,-5
468,-4,-4,-4,-4,-4,-4,-4,-4
469,1,0,1,1,-4,0,0,0
470,0,-4,-4,-4,-4,-4,-4,-4
471,-4,-4,-4,-4,-4,-4,-4,-4
472,-4,-4,0,-4,-4,-4,0,-4
473,-5,-5,0,-4,-4,-4,0,-4
474,0,-4,-4,-4,-4,-4,-4,1
475,1,1,0,-4,-4,-4,-4,0
476,0,0,-4,-4,-4,-4,-4,-4
477,-4,0,1,1,-4,-4,0,-4
478,-4,1,-4,-4,-4,-4,-4,-4
479,-4,-4,-4,-4,-4,-4,-4,-4
480,-4,-4,-4,0,-4,-4,-4,-4
481,0,1,1,-4,-4,-4,-4,-4
482,-4,-4,-4,-4,-4,-4,-4,-4
483,0,-4,0,-4,-4,-4,-4,-4
484,1,-4,1,-4,-4,-4,-4,-4
485,-4,-4,-4,-4,-4,-4,-4,-4
486,-4,-4,1,-4,-4,-4,-4,1
487,1,-4,-4,-4,-4,-4,-5,-4
488,0,-4,-4,-4,-4,-4,-4,-4
489,-4,-4,-4,-4,-4,-4,-4,-4
490,-5,-5,-5,-5,-5,-5,-5,-5
491,-4,-4,1,-4,-4,-4,-4,-4
492,0,1,-4,-4,-4,-4,-4,-4
493,-4,-4,-4,-4,-4,-4,-4,-4
494,0,-4,-5,-5,-5,-5,-5,-5
495,-4,-4,-4,-4,-4,-4,-4,-4
496,-4,1,-4,-4,-4,-4,-4,-4
497,-5,-5,-5,-5,-5,-5,-5,-5
498,-5,-5,-5,-5,-5,-4,-4,-5
499,-4,-4,-4,-4,-4,-4,-4,-4
500,-5,1,-4,-4,-4,-4,-4,-4
501,-4,-4,-4,0,-4,-4,-4,-4
502,-4,-4,-4,0,-4,-4,-4,-4
503,-4,-4,-4,-4,-4,-4,-4,-4
504,-5,-5,-4,-4,1,-4,-4,-4
505,-4,0,-4,-4,1,-4,1,-4
506,1,-4,1,-4,-4,-4,-4,1
