,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH
10396,1055401,10554,1,1,10,1979,101,1986,52,16,18,102,56,18,101,52,114.0,82,-0.3,-3,118.7,90,76
10452,1063401,10634,2,2,10,1979,106,1986,65,19,27,122,93,30,125,95,-0.3,-3,-0.3,-3,-0.3,-3,76
10806,1175201,11752,2,1,11,1977,78,1986,7,15,28,98,45,39,110,74,121.4,92,-0.3,-3,-0.3,-3,100
10978,1190501,11905,3,2,12,1978,106,1986,66,29,20,95,36,22,95,36,113.6,82,-0.3,-3,118.1,88,87
11058,1199301,11993,2,2,4,1975,102,1986,55,47,51,109,72,43,95,36,-0.3,-3,-0.3,-3,-0.3,-3,131
11112,1205201,12052,2,1,5,1979,100,1986,49,19,22,106,66,23,104,60,108.1,70,-0.3,-3,-0.3,-3,83
11180,1213001,12130,2,2,5,1980,99,1986,47,13,18,114,82,18,113,80,94.2,34,-0.3,-3,93.1,32,70
11199,1214901,12149,2,1,7,1977,99,1986,47,37,37,103,59,37,103,57,86.2,18,-0.3,-3,72.7,4,105
11200,1215001,12150,2,2,2,1977,110,1986,75,45,39,103,58,44,108,71,98.3,45,-0.3,-3,79.6,9,110
11257,1221001,12210,2,1,12,1980,86,1986,17,9,18,125,95,18,125,95,76.4,5,-0.3,-3,85.7,18,63
11302,1226901,12269,1,2,12,1979,106,1986,65,19,18,102,56,18,101,52,97.6,45,-0.3,-3,91.4,27,75
11346,1233002,12330,3,2,9,1979,79,1986,8,10,18,99,47,18,98,44,41.1,0,-0.3,-3,50.3,0,78
11467,1251101,12511,3,2,3,1977,92,1986,30,33,34,98,45,41,105,62,106.1,66,-0.3,-3,105.0,63,109
11480,1253001,12530,3,1,6,1978,126,1986,96,49,51,131,98,49,123,94,92.4,30,-0.3,-3,72.4,3,93
11616,8601,86,2,2,11,1977,101,1988,52,47,51,107,68,60,115,84,101.5,55,106.7,68,-0.3,-3,131
11758,24401,244,3,2,7,1975,135,1988,99,82,64,110,75,76,122,93,108.7,73,120.5,92,-0.3,-3,157
11759,24402,244,3,2,8,1979,108,1988,70,44,50,120,91,49,114,83,113.6,82,122.7,94,-0.3,-3,109
11805,28501,285,1,2,10,1977,91,1988,27,42,49,105,64,56,113,81,-0.3,-3,-0.3,-3,-0.3,-3,131
11855,34301,343,2,2,2,1978,100,1988,50,45,43,97,43,52,108,71,99.5,50,106.7,68,-0.3,-3,125
11875,37401,374,3,2,7,1980,86,1988,17,19,36,110,74,38,111,77,95.1,37,-0.3,-3,-0.3,-3,96
11930,42701,427,3,1,6,1980,108,1988,70,40,26,94,35,26,93,32,105.0,63,-0.3,-3,86.3,18,99
11931,42801,428,3,2,8,1982,123,1988,94,27,20,114,82,22,114,82,-0.3,-3,-0.3,-3,-0.3,-3,71
11942,44201,442,3,2,9,1975,131,1988,98,73,70,117,87,83,118,89,97.9,45,101.7,55,-0.3,-3,156
11943,44202,442,3,1,2,1979,104,1988,60,44,53,120,91,53,117,87,92.1,30,96.8,42,-0.3,-3,116
12004,52201,522,2,1,6,1978,101,1988,52,44,40,97,41,44,101,53,89.1,23,-0.3,-3,63.2,1,122
12014,53002,530,3,1,9,1975,82,1988,11,41,45,89,23,43,85,16,88.3,21,82.9,13,-0.3,-3,156
12102,62302,623,2,2,5,1983,109,1988,72,14,18,125,95,18,125,95,-0.3,-3,-0.3,-3,-0.3,-3,62
12103,62701,627,3,2,8,1976,72,1988,3,31,44,91,27,36,82,11,94.7,37,89.1,23,-0.3,-3,-7
12104,62702,627,3,2,12,1979,113,1988,81,45,40,107,68,37,103,57,97.6,45,90.1,25,-0.3,-3,-7
12161,69801,698,3,1,2,1977,78,1988,7,35,22,65,1,26,72,3,101.9,55,95.4,37,-0.3,-3,137
12162,69802,698,3,1,7,1981,117,1988,87,37,32,116,86,32,115,84,96.7,42,89.6,25,-0.3,-3,84
12193,73901,739,3,1,3,1978,108,1988,70,49,44,101,52,46,102,54,85.9,18,-0.3,-3,-0.3,-3,123
12194,73902,739,3,1,12,1980,97,1988,42,24,43,121,92,32,109,73,94.3,34,-0.3,-3,-0.3,-3,91
12223,76401,764,1,1,5,1982,119,1988,90,25,18,107,68,18,105,64,74.0,4,-0.3,-3,71.0,3,74
12286,83601,836,1,1,7,1979,103,1988,59,43,52,120,91,60,128,97,95.5,39,-0.3,-3,-0.3,-3,110
12290,84001,840,2,2,10,1977,86,1988,18,40,29,80,9,32,82,11,73.5,4,101.7,55,-0.3,-3,130
