,CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,MOVED,NUM_CHILDREN,STYPE
296,121604,1216,2,2,4,1988,96,2000,40,48,46,91,28,63,108,70,102.2,55,99.3,47,104.4,61,148,10,22400.0,1,0,4,1
297,122002,1220,2,1,2,1988,95,2000,36,47,33,78,7,31,74,4,89.2,23,92.5,32,87.8,21,149,4,34400.0,0,0,3,1
298,122103,1221,2,1,1,1989,85,2000,16,41,23,65,1,28,74,4,80.5,9,85.7,18,79.5,8,139,1,20000.0,0,0,3,1
301,122403,1224,2,2,8,1987,91,2000,27,45,35,78,7,42,84,14,71.8,3,78.9,8,71.2,3,155,19,19374.0,0,0,3,1
304,123805,1238,3,1,1,1987,97,2000,42,51,50,93,32,58,99,48,102.2,55,85.7,18,121.0,92,163,62,28378.5,0,0,5,1
308,125301,1253,3,2,10,1987,123,2000,94,69,63,111,77,63,108,70,110.9,77,112.9,81,104.4,61,152,32,72900.0,0,0,1,1
309,125802,1258,3,2,3,1987,114,2000,82,66,69,114,82,67,108,71,97.9,45,106.1,66,87.8,21,161,73,31800.0,0,0,4,1
313,127902,1279,3,1,7,1986,115,2000,84,68,75,121,92,73,116,85,110.9,77,106.1,66,112.7,81,167,86,13000.0,0,0,3,1
314,127903,1279,3,1,5,1988,98,2000,45,48,52,103,59,59,107,69,102.2,55,106.1,66,96.1,39,146,86,13000.0,0,0,3,1
315,128601,1286,2,1,9,1988,103,2000,59,51,35,82,11,42,88,21,76.1,5,99.3,47,54.6,0,142,10,29500.0,1,0,2,1
316,128602,1286,2,2,10,1993,104,2000,60,23,19,98,45,20,97,42,73.9,4,98.1,45,50.7,0,80,10,29500.0,1,0,2,1
317,129501,1295,2,1,7,1988,85,2000,16,41,50,101,53,61,110,75,93.5,34,92.5,32,96.1,39,142,6,509.0,0,0,3,1
322,131302,1313,2,1,3,1993,97,2000,41,22,22,100,50,23,97,43,80.4,9,84.3,14,81.4,10,88,1,4620.0,0,0,2,1
323,132301,1323,3,1,8,1992,113,2000,80,40,46,125,95,53,128,97,109.4,73,105.9,66,109.5,75,93,80,80000.0,0,0,2,1
332,135901,1359,3,2,5,1987,135,2000,99,76,53,101,53,74,119,90,97.9,45,99.3,47,96.1,39,157,53,,0,0,3,1
334,136001,1360,3,2,12,1988,89,2000,24,43,42,90,25,41,87,20,97.9,45,92.5,32,104.4,61,138,33,17000.0,0,0,1,1
337,137801,1378,2,2,8,1990,108,2000,70,49,41,96,39,54,113,81,74.4,4,72.2,3,85.3,16,122,19,62500.0,0,0,1,1
338,138901,1389,2,2,11,1988,98,2000,45,47,40,87,20,61,112,78,89.2,23,78.9,8,104.4,61,138,37,67700.0,0,0,2,1
339,138902,1389,2,1,10,1989,100,2000,50,45,49,107,68,60,118,89,89.2,23,72.2,3,112.7,81,127,37,67700.0,0,0,2,1
