CPUBID,MPUBID,CRACE,CSEX,CMOB,CYRB,MATHZ,year,MATHP,MATH,COMP,COMPZ,COMPP,RECOG,RECOGZ,RECOGP,HOMEZ,HOMEP,COGNZ,COGNP,EMOTZ,EMOTP,AGECH,AFQTP,TNFI,DIVORCE,NUM_CHILDREN
209403,2094.0,3.0,1.0,10.0,1978.0,115.0,1989.0,83.25,54.25,46.0,104.5,60.25,48.25,104.75,62.0,93.94999999999999,35.25,96.95,41.75,92.75,36.0,128.0,8.0,30022.0,0.0,3.0
209801,2098.0,3.0,2.0,8.0,1984.0,91.5,1993.5,30.25,30.0,31.5,96.0,40.5,31.5,95.0,38.0,93.125,35.75,95.5,40.0,92.275,34.0,113.5,17.0,36723.75,0.0,3.75
209802,2098.0,3.0,2.0,4.0,1988.0,105.66666666666667,1997.3333333333333,64.33333333333333,40.333333333333336,37.0,102.66666666666667,55.666666666666664,38.0,100.66666666666667,51.0,101.89999999999999,54.333333333333336,99.3,48.0,103.8,58.666666666666664,115.66666666666667,17.0,49600.0,0.0,4.0
209803,2098.0,3.0,2.0,9.0,1989.0,73.0,1999.0,3.5,23.5,26.0,79.5,10.0,28.5,80.5,10.0,97.75,43.5,94.05,35.0,102.85,57.0,119.5,17.0,51650.0,0.0,4.0
209804,2098.0,3.0,1.0,8.0,1991.0,75.5,2002.0,9.5,27.0,26.5,78.5,8.0,27.0,79.0,12.5,96.75,42.0,85.8,20.5,109.3,71.0,130.0,17.0,55675.0,0.0,4.0
209901,2099.0,3.0,2.0,1.0,1998.0,109.5,2008.0,68.5,46.0,40.75,103.25,58.25,45.0,105.25,63.25,100.575,51.5,86.375,21.5,116.45,84.5,123.0,25.0,139400.0,0.0,3.0
209902,2099.0,3.0,2.0,4.0,2000.0,108.75,2011.0,70.5,52.5,52.75,109.5,72.5,58.25,112.25,77.0,102.375,55.75,92.975,33.5,109.9,72.5,134.0,25.0,177750.0,0.0,3.0
209903,2099.0,3.0,1.0,1.0,2003.0,112.0,2010.0,79.0,35.0,29.0,110.0,74.0,35.0,115.0,84.0,104.1,61.0,75.3,5.0,126.1,96.0,83.0,25.0,,0.0,3.0
210201,2102.0,3.0,2.0,7.0,1975.0,102.33333333333333,1988.0,56.0,53.333333333333336,57.0,105.66666666666667,65.0,67.33333333333333,115.0,83.33333333333333,104.96666666666665,63.333333333333336,113.36666666666667,81.33333333333333,92.66666666666667,31.666666666666668,154.33333333333334,39.0,63020.0,0.0,4.666666666666667
210202,2102.0,3.0,2.0,2.0,1977.0,94.5,1989.0,36.0,46.0,43.75,92.0,30.0,48.5,95.25,38.0,103.425,59.25,111.5,77.5,93.1,33.0,148.25,39.0,63515.0,0.0,4.75
210203,2102.0,3.0,2.0,9.0,1979.0,104.0,1989.0,59.25,40.25,39.5,102.25,56.0,41.75,102.5,56.5,98.95,47.0,109.75,71.5,86.725,20.75,117.25,39.0,63515.0,0.0,4.75
210204,2102.0,3.0,2.0,7.0,1982.0,105.75,1992.0,62.75,41.0,39.5,104.5,59.5,43.25,105.75,64.75,93.6,37.75,103.4,58.75,84.05,18.0,119.5,39.0,96640.0,0.0,5.0
210205,2102.0,3.0,1.0,4.0,1987.0,112.0,1997.0,75.5,49.25,47.75,110.75,75.0,53.25,113.75,78.5,90.15,29.25,101.875,54.0,78.2,15.5,122.5,39.0,130644.25,0.0,5.0
210301,2103.0,3.0,1.0,6.0,1983.0,105.75,1993.0,63.5,44.75,32.25,89.0,24.0,35.75,92.75,32.0,106.875,66.25,106.625,66.25,104.425,61.25,121.0,52.0,60476.75,0.0,3.75
210302,2103.0,3.0,2.0,1.0,1985.0,106.75,1995.0,65.5,48.5,45.0,104.5,61.0,51.75,109.5,73.5,110.775,75.25,109.05,71.0,108.65,71.25,125.5,52.0,64014.75,0.0,4.0
210303,2103.0,3.0,1.0,2.0,1987.0,108.25,1997.0,70.25,48.25,40.0,97.25,43.0,46.25,103.5,58.5,109.525,73.5,107.075,66.75,108.825,71.25,126.25,52.0,67904.75,0.0,4.0
210304,2103.0,3.0,2.0,11.0,1991.0,105.5,2001.0,63.5,42.25,38.75,101.75,53.75,41.5,102.5,56.75,106.75,67.25,103.3,57.0,106.45,62.75,115.75,52.0,75554.0,0.0,4.0
210401,2104.0,3.0,1.0,2.0,1980.0,107.75,1991.0,69.25,53.5,61.75,119.5,89.5,62.0,117.75,85.25,117.95,87.25,120.725,91.0,108.025,68.75,136.5,75.0,40241.0,0.0,2.0
210402,2104.0,3.0,2.0,4.0,1982.0,103.2,1992.0,58.2,43.2,45.4,107.4,68.4,54.2,116.4,81.2,114.75999999999999,83.2,115.35999999999999,84.8,108.38,70.0,122.8,75.0,45611.0,0.0,2.0
210501,2105.0,3.0,2.0,12.0,1974.0,95.0,1988.6666666666667,37.333333333333336,50.333333333333336,52.0,94.66666666666667,36.0,55.333333333333336,94.66666666666667,36.333333333333336,87.10000000000001,23.666666666666668,92.5,33.333333333333336,85.2,19.0,170.0,33.0,18567.666666666668,0.3333333333333333,2.3333333333333335
